Club Name,Category,Description,Google Drive Logo Link
Cybernauts,Technical,Cybersecurity and ethical hacking club,https://drive.google.com/file/d/11_On8kp-0P3UMpNVe1yW-8Pfl0p1lZoe/view?usp=drive_link
Managerial Society,Managerial,Business and management events,https://drive.google.com/file/d/1qHDZf-NDy1oHXavUyyJ5vETyoxvpLh0Y/view?usp=drive_link
SPICE,Departmental,Society for production engineering by ICE department,https://drive.google.com/file/d/1HM-7PnSAJZA3liVFUv11Z-U5e9VonuMr/view?usp=drive_link
SQC,Technical,Software Quality Club,https://drive.google.com/file/d/1TFs3ZsYinkQe88DhHAq0YLCkEzS0t-yr/view?usp=drive_link
SoECE,Departmental,Society of Electronics and Communication Engineers,https://drive.google.com/file/d/1KHLtneJPt4a0KRISuq3MXKPt_ADhzbdM/view?usp=drive_link
SOBER,Departmental,Biotech Engineering Society,https://drive.google.com/file/d/1eDhSHz-04aM6otkRpk6XOpnD0TieGp0z/view?usp=drive_link
SOME,Departmental,Society of Metallurgical Engineers,https://drive.google.com/file/d/1JX1PXzDtjnp5bqcucMvwJ-T53EfWjgi4/view?usp=drive_link
Agastya,Cultural,Interdisciplinary innovation and culture club,https://drive.google.com/file/d/1kzaAkRxRjEeOppOPvSxpzNEgWWNpJPWP/view?usp=drive_link
Finnest,Finance,Finance and economics focused club,https://drive.google.com/file/d/1hH05rBi0gGJItAef4Zs1wGdkjVJsMUhh/view?usp=drive_link
TIES (IPE),Departmental,Industrial and Production Engineering society,https://drive.google.com/file/d/1oSKhifHbOB1mA9w-NzOac8p27-xEJmxI/view?usp=drive_link
Q Mania,Cultural,Quiz and general knowledge club,https://drive.google.com/file/d/1mZKfpH_3ItmkiV9a3wUpyukMI9bx1J_T/view?usp=drive_link
StratBiz Club,Managerial,Strategy and business society,https://drive.google.com/file/d/1TI1qMcucl8S8i-ZnLAdoprWYo028xw28/view?usp=drive_link
GaNIT,Technical,Math and algorithm-focused club,https://drive.google.com/file/d/1WWYFsdAdeXLdMbS2wIZ_zsLtwFDjxOV8/view?usp=drive_link
E-Cell,Entrepreneurship,Entrepreneurship and startups club,https://drive.google.com/file/d/1mpcEmw70sV7n5dkax_UduPp6anIbScjn/view?usp=drive_link
Xceed,Technical,A hub for innovation and collaboration,https://drive.google.com/file/d/1kY_4NyZ93Z8XKFX1YjwpnaoJvhWp0Viy/view?usp=drive_link
BAWRE,Cultural,A club for plays and cultural skids,https://drive.google.com/file/d/1ZGBxXo0AU0mon3y21aDwVdRZ5il7c5t_/view?usp=drive_link
OpenGeest,Departmental,society of computer science students,https://drive.google.com/file/d/1PfEHqEiy4_e_P1Mp948n8a84gSQjx_yj/view?usp=drive_link
AAROGYA,Health,dedicated to health and well being of students,https://drive.google.com/file/d/1jrFADEi9poEOcT86MM7NFk_tt333mY7R/view?usp=drive_link
SPIC MACAY,Cultural,non profit organization promoting indian classical music and dance,https://drive.google.com/file/d/1bUCwPCu9KKOMJ1sPSWE7CxoQURUT8RSj/view?usp=drive_link
ANIMANIACS,Cultural,official animation club of the institute,https://drive.google.com/file/d/1hMYJ0pb1YjDbVFVtx3PIjrltSNGfU8k_/view?usp=drive_link
RLC,Cultural,to promote and nurture various different regional language,https://drive.google.com/file/d/1uk_UMfxQdDtLnuAbSX0K56Ej2nXk8ieu/view?usp=drive_link
Prayaas,Social,club for helping poor and under privilaged children in education,https://drive.google.com/file/d/1E1edwTEZFN1eTPBZxauozPstwG0HjzLR/view?usp=drive_link
ECE,Departmental,society of ece students,https://drive.google.com/file/d/1VCHB9DgB4kuCB3PinPoSKmFbXjv1zylK/view?usp=drive_link
Innovation club,Technical,promoties innovation with in the institute,https://drive.google.com/file/d/1Y7gReDJQ7Q9D1CCyMyHjFUJMEfZNRBtC/view?usp=drive_link
NCC,Social,"promotes discipline, leadership, and patriotism through military-style training and social service.",https://drive.google.com/file/d/12yf9kHBJMDVRGpk3cAU8BAu5qS8_4yOk/view?usp=drive_link
Ek Bharat Shresht Bharat,Cultural,promots patriority in the institute,https://drive.google.com/file/d/17zxOl8H-5np9uRG8QAqQu3ZS_vCtTQjx/view?usp=drive_link
TCA,Cultural,club responsible for mangaing events and fest ,https://drive.google.com/file/d/1cAG_MJvHQLiRN882GpgMVSpul9Y2yM41/view?usp=drive_link
